Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,86071,1990,15.6,15.4,14.8,13.4,9.7,7.7,8.2,7.8,9.2,11.3,12.7,14.4,11.7
IDCJAC0004,86071,1991,16.2,14.1,13.1,10.6,9.2,9.7,7.7,7.5,8.8,11.6,11.2,13.5,11.1
IDCJAC0004,86071,1992,13.7,14.7,15.9,11.6,9.4,7.5,7.6,6.6,7.6,11.0,11.6,15.3,11.0
IDCJAC0004,86071,1993,16.2,15.9,14.4,12.1,9.6,8.4,7.4,8.2,9.7,10.0,11.5,13.1,11.4
IDCJAC0004,86071,1994,13.6,16.2,13.4,11.8,9.5,7.8,7.1,6.4,7.8,10.0,11.6,15.5,10.9
IDCJAC0004,86071,1995,16.7,16.3,13.6,9.5,9.5,8.2,7.3,7.5,7.3,10.1,12.1,12.1,10.8
IDCJAC0004,86071,1996,15.2,14.2,13.4,10.6,10.0,7.5,6.7,8.1,8.8,11.1,11.3,12.2,10.8
IDCJAC0004,86071,1997,16.7,18.6,13.6,11.2,10.0,8.0,5.8,7.1,9.0,11.1,13.1,14.6,11.6
IDCJAC0004,86071,1998,16.3,15.4,14.4,11.0,9.7,7.7,6.1,7.6,10.5,10.1,11.7,14.6,11.3
IDCJAC0004,86071,1999,16.9,17.3,14.7,10.3,10.4,8.1,8.2,9.2,10.4,11.5,11.9,14.8,12.0
IDCJAC0004,86071,2000,15.3,17.7,15.8,12.4,9.7,8.2,7.1,7.5,9.9,10.5,15.2,14.8,12.0
IDCJAC0004,86071,2001,17.8,18.3,14.2,12.0,9.7,9.4,8.2,8.7,10.7,10.7,11.7,12.6,12.0
IDCJAC0004,86071,2002,14.8,15.2,14.8,12.9,10.1,8.5,7.6,7.6,9.6,10.7,12.3,14.5,11.5
IDCJAC0004,86071,2003,15.6,16.9,15.0,11.7,9.7,8.9,7.2,7.3,8.3,9.5,12.8,15.9,11.6
IDCJAC0004,86071,2004,14.3,15.5,14.1,12.3,9.2,8.7,7.7,8.0,9.9,11.4,12.9,14.5,11.5
IDCJAC0004,86071,2005,15.9,14.6,13.7,13.5,9.7,8.5,8.4,8.2,9.5,11.9,13.9,14.6,11.9
IDCJAC0004,86071,2006,17.3,15.8,15.3,10.8,8.9,6.3,7.5,7.9,9.4,10.3,12.1,13.4,11.2
IDCJAC0004,86071,2007,17.1,18.3,15.2,12.3,12.6,7.2,6.9,8.9,9.3,11.6,14.3,15.8,12.5
IDCJAC0004,86071,2008,17.6,15.9,14.6,11.2,9.0,9.8,6.8,7.3,9.7,11.6,12.6,13.4,11.6
IDCJAC0004,86071,2009,15.7,16.5,14.5,11.6,9.6,7.7,8.2,9.2,9.9,10.6,15.9,14.7,12.0
IDCJAC0004,86071,2010,15.9,18.2,16.3,14.5,9.8,7.5,7.3,7.6,9.1,10.9,13.4,14.5,12.1
IDCJAC0004,86071,2011,17.0,16.3,14.9,11.7,9.6,7.8,7.7,9.0,9.8,11.4,14.1,15.0,12.0
IDCJAC0004,86071,2012,17.3,16.7,14.5,12.0,10.0,8.0,7.7,8.1,9.9,10.8,13.7,15.1,12.0
IDCJAC0004,86071,2013,16.0,17.6,16.7,12.3,9.8,7.4,8.4,9.3,11.2,11.1,12.4,14.3,12.2
IDCJAC0004,86071,2014,17.1,16.8,15.3,13.3,11.1,9.8,8.4,7.9,10.0,11.4,13.2,15.2,12.5
IDCJAC0004,86071,2015,16.7,null,null,null,null,null,null,null,null,null,null,null,null
